ID,Date,Weekday,TimeStart,TimeEnd,Location,Title,FourTopics,Topic,Workshop,Series,Speaker,Title,Degree,Gender,Hostdep,InstituteVStudent,Open,RSVP,Food,"Meal Type (lunch, dinner, refreshments)","food offered e.g. pizza, healthy",MealSnake,Data Collector,Source
24,2018-09-12,Wednesday,5:30 PM,8:00 PM,Kresge 202B,TA Training Workshop,Academic,Instruction,Y,N,,,,,,Institution,N (only current TAs),Y,N,,,,Olivia,
25,2018-09-12,Wednesday,12:00 PM,1:00 PM,"Gordon Hall, Waterhouse Faculty Room",Lunch and Learn with Code Ocean,Academic,Instruction,N,N,,,,,,Institution,Y,Y,Y,lunch & refreshments,,meal,Olivia,
26,2018-09-12,Wednesday,12:30 PM,1:30 PM,TMEC227 (Med Campus),Info Session - Health Professions and Exposure Program,Academic,Outreach,N,N,,,,,,Institution,Y,N,Y,lunch,,meal,Olivia,
27,2018-09-12,Wednesday,12:40 PM,1:40 PM,TMEC250,Info Session - Health Professions and Exposure Program,Academic,Outreach,N,N,,,,,,Institution,Y,N,Y,lunch,,meal,Olivia,
28,2018-09-12,Wednesday,5:30 PM,8:00 PM,Kresge 202B,TA Training Workshop,Academic,Instruction,Y,N,,,,,,Institution,N (only current TAs),Y,N,,,,Olivia,
29,2018-09-12,Wednesday,6:00 PM,8:00 PM,TMEC 227,History of the Present Illness: How Mass Incarceration Worsens Our Patients' Health,Welfare,Academic,N,N,,,,,Racial Justice Coalition at HMS,Institution,Y,N,N,,,,Olivia,
30,2018-09-12,Wednesday,5:00 PM,,Kresge 201,Nigerian Students Association Inaugural Meeting and Elections,Social,club,N,N,,,,,Nigerian Student Association,Student,Y,N,Y,Refreshments,,snack,Olivia,
31,2018-09-12,Wednesday,1:00 PM,1:50 PM,FXB G11,Black Student Health Organization General Membership Meeting,Welfare,club,N,N,,,,,Black Student Health Organization,Student,new & returning members,N,Y,light refreshments,,snack,Olivia,
32,2018-09-12,Wednesday,1:00 PM,2:30 PM,Kresge G3,Race and Racism in the US: A Workshop,Academic,Academic,Y,N,,,,,,Institution,Y,N,N,,,,Olivia,
33,2018-09-13,Thursday,1:00 PM,1:50 PM,Kresge 200,Info Session - SBS 550 CDC Evaluation Course,Academic,Resource,N,N,,,,,,Institution,Y,Y,Y,lunch,,meal,Olivia,
34,2018-09-13,Thursday,1:00 PM,1:50 PM,FXB G12,Health and Energy Management,Welfare,Academic,N,N,Nathan Maddix,President and Founder of Behavioral Insights Global,,male,Behavioral Insights Student Group,Student,Y,Y,Y,lunch,,meal,Olivia,
35,2018-09-13,Thursday,12:00 PM,1:00 PM,Kresge G3,"Changing Minds, Saving Lives - Media's Role in Public Health",Academic,Academic,N,Y,Jay A. Winsten,Associate Dean,PHD,male,,Student,Y,Y,N,,,,Olivia,
36,2018-09-13,Thursday,1:00 PM,1:50 PM,Kresge G4,Harvard International Office - OPT Workshop,Welfare,Resource,Y,N,,,,,International Office,Institution,geared toward those completing programs,N,N,,,,Olivia,
37,2018-09-13,Thursday,1:00 PM,1:50 PM,FXB G10,Queer Students Association - First Meeting,Social,club,N,N,,,,,Queer Students Association,Student,Y,N,N,,,,Olivia,
38,2018-09-13,Thursday,1:00 PM,2:00 PM,Kresge G4,ODI Open House,Welfare,club,N,N,,,,,ODI,Institution,Y,N,Y,unspecified,,snack,Olivia,
39,2018-09-13,Thursday,5:30 AM,,Kresge Cafeteria,Advice from Alumni in the Field,Career,Career Development,Y,N,,,,,,Institution,Y,Y,Y,Dinner,,meal,Olivia,
40,2018-09-13,Thursday,5:30 PM,7:00 PM,Countway,Looking for Luke Documentary Screening,Academic,Academic,N,N,,,,,,Institution,Y,N,Y,light refreshments,,snack,Olivia,
41,2018-09-13,Thursday,5:30 PM,7:30 PM,Countway,Cutting Chai - SASA's Welcome Back Mixer,Social,Social,N,N,,,,,,Institution,Y,Y,Y,,"hot chai, filter coffee, snacks",snack,Olivia,
42,2018-09-13,Thursday,1:00 PM,2:00 PM,FXB G10,"FXB WIP: The Rohingya in Cox's Bazar: Implications of Statelessness, Dr. Satchit Balsari, MD, MPH",Academic,research presentation,N,Y,Dr. Satchit Balsari,,MD,,,Institution,Y,N,N,,,,Olivia,
43,2018-09-14,Friday,9:00 PM,,Smith Campus Center,Smith Campus Center: After Dark,Social,Social,N,N,,,,,Smith Campus Center,Institution,Y,N,Y,Dessert,ice cream,snack,Olivia,
44,2018-09-15,Saturday,8:00 PM,,Harvard Commons,Movie Night - Incredibles 2,Social,Social,N,N,,,,,Smith Campus Center,Institution,Y,N,N,,,,Olivia,
45,2018-09-15,Saturday,7:00 PM,10:00 PM,Boylston Hall 105,Bible Study and Dinner Fellowship,Religious,Religious,N,N,,,,,ABSK,Student,Y,N,Y,Dinner,Korean tacos and almond jello,meal,Olivia,
46,2018-09-17,Monday,12:00 PM,12:50 PM,Countway,Increasing Openness and Collaboration,Academic,research,N,N,Scott Lapinski,Research Librarian,,male,,Institution,Y,N,N,,,,Olivia,
47,2018-09-17,Monday,6:30 PM,7:30 PM,Bell Hall HKS,Conference on Poverty and Inequality First Meeting,Academic,club,N,N,,,,,,Institution,Y,N,Y,dinner,pizza & drinks,meal,Olivia,
48,2018-09-17,Monday,1:00 PM,2:00 PM,FXB G11,Info Session - Decolonizing Global Health Conference,Academic,Global Health,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
49,2018-09-17,Monday,1:00 PM,1:50 PM,Kresge G2,"Collaborative, empowerment-focused strategies to promoting child health in educational settings",Academic,Academic,N,Y,Dr. Kirsten Davison,,,female,,Institution,Y,N,N,,,,Olivia,
50,2018-09-18,Tuesday,5:30 PM,7:00 PM,Countway,How You Can Get Involved,Social,Outreach,N,N,,,,,,Institution,Y,N,Y,light refreshments,,snack,Olivia,
51,2018-09-18,Tuesday,12:00 PM,1:00 PM,Kresge 202B,"Info Session - HDS J-Term Course in Middle East on Religion, Conflict, Peace",Academic,Resource,N,N,,,,,HDS/HKS,Institution,Y,N,N,,,,Olivia,
52,2018-09-18,Tuesday,1:00 PM,1:50 PM,Kresge 202B,Mental Health Needs of Graduate Students: A New Collaborative Approach to Gather Data,Welfare,Mental Health,N,N,Paul J. Berreira,Executive Director HUHS,,male,,Institution,Y,N,Y,lunch,,meal,Olivia,
53,2018-09-19,Wednesday,1:00 PM,2:00 PM,Kresge G3,WOCC - First General Meeting,Social,club,N,N,,,,,WOCC,Student,Y,N,N,,,,Olivia,
54,2018-09-19,Wednesday,5:30 PM,7:00 PM,Countway,Looking for Luke Documentary Screening,Academic,Academic,N,N,,,,,,Institution,Y,N,Y,light refreshments,,snack,Olivia,
55,2018-09-19,Wednesday,1:00 PM,1:50 PM,Kresge G2,On the Road for Climate Action: Bringing Climate Science to the Public,Academic,Academic,N,N,Dr. Shahir Masri,Sc.D.,,male,HCSA & Sustainability & Health Student Forum,Student,Y,N,N,,,,Olivia,
56,2018-09-19,Wednesday,1:00 PM,1:50 PM,Kresge 200,EndNote Essentials,Academic,Academic,Y,N,,,,,,Institution,Y,N,Y,snacks,,snack,Olivia,
57,2018-09-20,Thursday,5:00 PM,6:00 PM,CGIS room S350,HGSU Mental Health and Academic Life Committee – Kickoff Meeting,Social,club,N,N,,,,,HGSU Mental Health and Academic Life Committee,Student,Y,N,N,,,,Olivia,
58,2018-09-20,Thursday,4:00 PM,7:00 PM,Countway Garden,Countway Community Garden Harvest Festival,Social,Social,N,N,,,,,,Institution,Y,N,Y,unspecified,,snack,Olivia,
59,2018-09-20,Thursday,1:00 PM,2:00 PM,FXB G10,"The Environmental Legacy of War: Human & Environmental Health Consequences on Vieques, Puerto Rico",Academic,Academic,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
60,2018-09-20,Thursday,1:00 PM,1:50 PM,Kresge 606,MHSA and CHH Monthly Journal Club,Academic,Mental Health,Y,Y,,,,,MHSA and CHH,Student,Y,Y,Y,lunch,,meal,Olivia,
61,2018-09-21,Friday,4:00 PM,8:00 PM,Kresge Courtyard,Future Health: The Promise and Possibilities of a New Era in Public Health,Social,Celebration,N,N,,,,,Events Office,Institution,Y,Y,,,,,Olivia,
62,2018-09-21,Friday,1:00 PM,2:00 PM,Kresge G4,How do I pay my interest,Welfare,Student Finance,N,N,,,,,Office of Financial Aid,Institution,Y,N,N,,,,Charlie,
63,2018-09-21,Friday,1:00 PM,1:50 PM,Kresge G1,Beyond Maria: Leading with Science,Academic,Academic,N,N,"senior authors of the NEJM paper, “Mortality in Puerto Rico after Hurricane Maria,”",,,,,Institution,Y,N,N,,,,Charlie,
64,2018-09-22,Saturday,1:30 PM,3:00 PM,Chinatown,Harvard Chan Foodie Club Lantern Festival Outing,Social,Social,N,Y,,,,,Harvard Chan Foodie Club,Student,Y,N,Y,"Food outing, not free",,meal,Charlie,
65,2018-09-22,Saturday,2:30 PM,5:30 PM,Museum of Fine Arts,A Day at the MFA,Social,Social,N,N,,,,,Harvard GSAS Asian Baptist Student Koinonia,Student,Y,N,N,,,,Charlie,
66,2018-09-22,Saturday,7:00 PM,9:30 PM,Bolyston Hall,Movie Night - I can only imagine,Social,Social,N,N,,,,,Harvard GSAS Asian Baptist Student Koinonia,Student,Y,N,N,,,,Charlie,
67,2018-09-24,Monday,5:30 PM,7:00 PM,Countway,Panel Discussion: What does recovery look like?,Welfare,Mental Health,N,N,panel,,,,,Institution,Y,N,Y,light refreshments,,snack,Olivia,
68,2018-09-24,Monday,12:00 PM,2:00 PM,Kresge Courtyard,Harvard Chan Food Truck Picnic,Social,Social,N,N,,,,,,Institution,Y,Y,N,,,,Olivia,
69,2018-09-24,Monday,1:00 PM,2:00 PM,Countway,Sleeping Soundly - How to Get your best sleep workshop,Welfare,Welfare,Y,N,,,,,Harvard Library,Institution,Y,N,Y,light refreshments,,snack,Charlie,
70,2018-09-24,Monday,1:00 PM,1:50 PM,Kresge G2,Maternal and Child Health Seminar: “Firearms Policy” by David Hemenway,Academic,Academic,N,Y,David Hemenway,Prof,,Male,Center of Excellence in Maternal and Child Health,Institution,Y,N,N,,,,Charlie,
71,2018-09-24,Monday,1:00 PM,1:50 PM,"Building 1, 12th floor",HaSET Informational Session with Dr. Chan: Graduate Student Research Opportunities,Academic,Academic,N,N,Grace Chan,Dr,PHD,female,Center of Excellence in Maternal and Child Health,institution,Y,N,N,,,,Charlie,
72,2018-09-25,Tuesday,3:00 PM,5:00 PM,Kresge Cafeteria,Global Disease Outbreaks: Shaping Public Health Infrastructure and Investments,Academic,Academic,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
73,2018-09-25,Tuesday,5:30 PM,6:45 PM,Kresge Cafeteria,Harvard International Office – Walk-in Hours & Practice Fair,Welfare,Welfare,N,N,Elizabeth Capuano,,,female,Harvard International Office,Institution,Y,N,N,,,,Charlie,
74,2018-09-26,Wednesday,12:00 PM,1:00 PM,The Leadership Studio,U.S. Drug Prices: Why are they so high?,Academic,Academic,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
75,2018-09-26,Wednesday,4:30 PM,5:30 PM,Sanders Theatre,Richard Montanez From Janitor to VP at PepsiCo The Importance of Diversity in Sparking Innovation,Academic,Academic,N,N,Richard Montanez,VP,,male,,,Y,Y,N,,,,Olivia,
76,2018-09-26,Wednesday,7:00 PM,,Harvard Catholic Centre's DiGiovanni Hall,Evolution: In Light of the Compatibility of Faith & Reason,Academic,Academic,N,N,Kenneth Miller,Prof,,Male,,,Y,N,N,,,,Charlie,
77,2018-09-26,Wednesday,3:00 PM,3:30 PM,FXB Lobby,Alice Hamilton Sculpture Unveiling,Social,Celebration,N,N,,,,,Harvard Chan,institution,Y,N,Y,light refreshments,,snack,Charlie,
78,2018-09-26,Wednesday,1:00 PM,2:00 PM,Kresge 426,Welcome Back Cafecito Meeting,Social,Social,N,Y,,,,,Latinx Students in Public Health Association,Student,Y,N,N,,,,Charlie,
79,2018-09-26,Wednesday,6:00 PM,7:30 PM,"Science Centre, cambridge campus",Private Equity + Data Science Lecture by Two Six Capital,Career,Career,N,N,,,,,Harvard Big Data Club,Student,Y,N,N,,,,Charlie,
80,2018-09-26,Wednesday,3:15 PM,3:45 PM,Kresge Atrium,Coffee & Chill,Welfare,Welfare,N,Y,,,,,MHSA,Student,Y,N,Y,"Coffee, tea, cookies",,snack,Charlie,
81,2018-09-26,Wednesday,4:00 PM,5:30 PM,HKS Belfer,Study Group: Developing Multisectoral Action for Health and Social Impact – answering the call to action for the UN Sustainable Development Goals: Session 3: Inspiring smart choices and building confidence in vaccines for sustainable health,Academic,Academic,N,N,Scott Ratzan,Dr,PHD,male,,,Y,N,N,,,,Charlie,
82,2018-09-26,Wednesday,1:00 PM,1:50 PM,FXB G13,Translating Research for Policy and Practice: The CHOICES Project and Implications for Happiness,Academic,Academic,N,N,Steve Gortmaker,Prof,PHD,male,Lee Kum Sheung Center for Health and Happiness,institution,Y,N,Y,Lunch,,meal,Charlie,
83,2018-09-27,Thursday,1:00 PM,1:50 PM,Kresge 202B,Qualitative Methods Club,Social,club,N,N,,,,,Qualitative Methods Club,,Y,N,Y,light lunch,,,Olivia,
84,2018-09-27,Thursday,4:00 PM,6:30 PM,HMS Tosteson Medical Education Centre 227,Equity and Social Justice – Native American Health Forum,Academic,Politics,N,Y,Donald Warne,Prof,MD,male,Equity and Social Justice Series,Institution,Y,N,N,,,,Charlie,
85,2018-09-27,Thursday,1:00 PM,5:00 PM,Joseph B Martin Conference Centre,"State of Maternal and Child Health / Children, Youth and Families Symposium & Reception",Social,Celebration,N,N,Marie McCormick,Prof,,female,Center of Excellence in Maternal and Child Health,institution,Y,Y,Y,Reception,,meal,Charlie,
86,2018-09-27,Thursday,6:30 PM,,HKS Wexner,Bhutan Trek Info Session,Social,Social,N,N,,,,,,,Y,N,N,,,,Charlie,
87,2018-09-27,Thursday,1:00 PM,2:00 PM,FXB G11,Preventing Gun Violence: Harvard Chan Student Forum Informational Meeting!,Academic,Academic,N,N,David Hemenway,Prof,,male,Harvard Chan Student Forum,Student,Y,N,Y,Lunch,,meal,Charlie,
88,2018-09-27,Thursday,1:00 PM,2:00 PM,Kresge 202B,Harvard Chan Qualitative Research Methods Student Club,Academic,Academic,N,Y,Kuanysh Yergaliyev,Student,,male,Harvard Chan Qualitative Research Methods Student Club,student,Y,N,N,,,,Charlie,
89,2018-09-27,Thursday,1:00 PM,2:00 PM,Kresge G2,Lonza Biologics Information,Career,Career,N,N,,,,,,,Y,N,Y,Lunch,,meal,Charlie,
90,2018-09-27,Thursday,5:30 PM,7:00 PM,Kresge 200,Panel Discussion & Networking Reception on Careers in Consulting & Research,Career,Career,N,N,panel,,,,,,Y,N,N,,,,Charlie,
91,2018-09-28,Friday,1:00 PM,1:50 PM,Kresge 502,UK Workers — Healthy?,Academic,Academic,N,N,Carol Black,Prof,,female,,,Y,N,N,,,,Charlie,
92,2018-09-28,Friday,1:00 PM,1:45 PM,Kresge 200,Financial Wellness for Students – Money in the United States,Welfare,Welfare,N,N,,,,,,,Y,N,N,,,,Charlie,
93,2018-09-28,Friday,5:00 PM,,Harvard Stadium,Harvard Football Graduate Student Tailgate,Social,Social,N,N,,,,,Harvard Football,Institution,Y,Y,N,,,,Charlie,
94,2018-09-28,Friday,6:00 PM,,Squealing Pig,Fall Social – Public Health Information x Technology!,Social,Social,N,N,,,,,Public Health Information x Technology!,student,Y,N,Y,Appetizers,,meal,Charlie,
95,2018-09-28,Friday,11:00 AM,3:00 PM,Kresge Cafeteria,Fall Public Health Career Expo,Career,Career,N,N,,,,,,Institution,Y,N,N,,,,Charlie,
96,2018-09-28,Friday,3:00 PM,5:00 PM,Countway,Countway Research Coffee Break!,Academic,Academic,N,N,,,,,Countway reference team,institution,Y,N,Y,"Coffee, tea and snack",,snack,Charlie,
97,2018-09-29,Saturday,7:00 PM,10:00 PM,Bolyston Hall,Bible Study and Dinner Fellowship,Religious,Religious,N,Y,,,,,Harvard GSAS Asian Baptist Student Koinonia,student,Y,N,Y,Dinner,,meal,Charlie,
98,2018-10-01,Monday,6:30 PM,,Vanderbilt Hall 101,Nigerian Independence Celebration,Social,Celebration,N,N,,,,,Nigerian Student Association,student,Y,N,Y,Nigerian food,,meal,Charlie,
99,2018-10-01,Monday,1:00 PM,1:30 PM,Kresge G3,Dean’s Distinguished Lecture — Patricia Garcia,Academic,Academic,N,Y,Patricia Garcia,Minister of Health,,female,Dean' Distinguished Lecture,institution,Y,N,Y,Light lunch,,meal,Charlie,
100,2018-10-02,Tuesday,12:00 PM,1:00 PM,Online,How to increase bipartisan leadership on climate change,Academic,Politics,N,Y,Representative Bob Inglis,Congressman,,Male,Voice in Leadership,Institution,Y,N,N,,,,Charlie,
101,2018-10-02,Tuesday,5:15 PM,6:30 PM,HMS Tosteson Medical Education Centre Amphitheatre,BLACK WOMEN IN MEDICINE — A Film Salute Honoring Dr. Claudia R. Thomas,Social,Social,N,Y,,,,,Black Women in Medicine,Student,Y,Y,N,,,,Charlie,
102,2018-10-02,Tuesday,1:00 PM,1:30 PM,Kresge 202B,Orientation: Focus Group and Discussion,Welfare,Welfare,N,N,,,,,Office for Student Affairs,institution,Y,N,Y,Coffee and snacks,,snack,Charlie,
103,2018-10-02,Tuesday,1:00 PM,2:00 PM,Kresge 907,Healthy Tourism in Bali: a talk and practicum opportunity,Academic,Academic,N,N,,,,,,,Y,N,N,,,,Charlie,
104,2018-10-03,Wednesday,12:00 PM,1:00 PM,Kresge G3,"Changing Minds, Saving Lives — India: Campaigning for Road Safety",Academic,Academic,N,N,Piyush Tewari,CEO,,male,,,Y,N,N,,,,Charlie,
105,2018-10-03,Wednesday,5:00 PM,7:00 PM,NRB 1031 (HMS),Infectious Disease Consortium (IDC) Fall Welcome Event,Academic,Academic,N,Y,,,,,,,Y,N,Y,unspecified,,snack,Charlie,
106,2018-10-03,Wednesday,4:00 PM,6:00 PM,Kresge 202A,Salsa and Poetry,Social,Social,N,N,,,,,Office of Diversity and Incusion,institution,Y,Y,Y,Salsa making,,snack,Charlie,
107,2018-10-03,Wednesday,1:00 PM,2:00 PM,FXB 710,Immigration Policy and Health in the Trump Era: Research and Advocacy,Academic,Academic,N,N,Lara Jirmanus,Dr,PHD,female,,,Y,N,N,,,,Charlie,
108,2018-10-03,Wednesday,12:00 PM,1:00 PM,FXB G13,Live-streaming of “Behavioral Science for Development: A Storytelling Event”,Academic,Academic,N,N,,,,,BISG,Student,Y,N,N,,,,Charlie,
109,2018-10-03,Wednesday,1:00 PM,2:00 PM,Kresge G4,Budgeting Tool,Welfare,Welfare,N,N,,,,,,Institution,Y,N,N,,,,Charlie,
110,2018-10-03,Wednesday,3:15 PM,3:45 PM,Kresge Atrium,Coffee & Chill,Welfare,Welfare,N,Y,,,,,MHSA,student,Y,N,Y,"Coffee, tea, cookies",,snack,Charlie,
111,2018-10-03,Wednesday,5:30 PM,6:30 PM,FXB G13,Analysis Group Information Session,Career,Career,N,N,,,,,,Institution,Y,N,Y,Dinner,,meal,Charlie,
112,2018-10-04,Thursday,1:00 PM,1:50 PM,Kresge 200,Data Skills: Planning for Research Success,Academic,Research,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
113,2018-10-04,Thursday,2:00 PM,3:00 PM,Kresge 907,CHAN TOASTMASTERS Student Club – First General Meeting,Career,Career,Y,Y,,,,,CHAN TOASTMASTERS Student Club,student,Y,N,Y,light refreshments,,snack,Charlie,
114,2018-10-04,Thursday,1:00 PM,1:50 PM,Kresge 202B,Information Session Regarding HSPH India Research Center,Academic,Academic,N,N,,,,,,Institution,Y,N,N,,,,Charlie,
115,2018-10-04,Thursday,1:00 PM,1:50 PM,FXB G12,EPI IN INDUSTRY: A lunch seminar by Dr. Chantal Holy (Johnson & Johnson),Career,Career,N,N,Chantal Holy,Senior Director,PHD,female,Harvard T.H. Chan Pharmacoepidemiology and Pharmacoeconomics Student Chapter,student,Y,N,Y,Lunch,,meal,Charlie,
116,2018-10-04,Thursday,1:00 PM,2:00 PM,Kresge Atrium,Sustainability Awareness with Food Action Student Group,Social,Social,N,N,,,,,Food Action Student Group,student,Y,N,Y,Lentils and dark chocalate,,snack,Charlie,
117,2018-10-04,Thursday,3:30 PM,7:00 PM,Kresge 201 and 205,Healing space,Welfare,Welfare,N,N,,,,,,,Y,N,N,,,,Charlie,
118,2018-10-04,Thursday,5:30 PM,7:00 PM,Kresge 907,Succeeding as International Candidates: A Conversation with Harvard Chan International Alumni,Career,Career,N,N,Panel,,,,,,Y,N,Y,Dinner,,meal,Charlie,
119,2018-10-05,Friday,10:00 AM,12:00 PM,Kresge G4,Employer/Alumni Office Hours – Michael Brown,Career,Career,N,N,Michael Brown,Cheif medical officer,,male,,Institution,Y,Y,N,,,,Charlie,
120,2018-10-05,Friday,4:00 PM,6:00 PM,Landmark 414A,C-CHANGE First Fridays with Gina McCarthy,Career,Career,Y,Y,Gina McCarthy,Director,,female,C-Change,institution,Y,N,Y,Pizza and refreshments,,meal,Charlie,
121,2018-10-05,Friday,3:00 PM,5:00 PM,Countway,Countway Research Coffee Break!,Academic,Academic,N,Y,,,,,Countway reference team,institution,Y,N,Y,"Coffee, tea and snack",,snack,Charlie,
122,2018-10-06,Saturday,7:00 PM,10:00 PM,Bolyston Hall,Bible Study and Dinner Fellowship,Religious,Religious,N,Y,,,,,Harvard GSAS Asian Baptist Student Koinonia,student,Y,N,Y,Dinner,,meal,Charlie,
123,2018-10-08,Monday,12:15 PM,,Harvard Yard,Indigenous Peoples’ Day City Walk,Social,Social,N,N,,,,,,,Y,N,N,,,,Charlie,
124,2018-10-09,Tuesday,1:00 PM,1:50 PM,Kresge 200,Taking a Multi-Level Perspective in Understanding the Intergenerational Transmission of Stress,Academic,Academic,N,Y,Cindy Liu,Prof,PHD,female,Population Mental Health Monthly Seminar Series,institution,Y,N,Y,Lunch,,meal,Charlie,
125,2018-10-09,Tuesday,1:00 PM,3:00 PM,Kresge Auditorium,NATIVE AMERICA PBS Special Advanced Screening,Academic,Academic,N,N,,,,,,,Y,Y,Y,Lunch,,meal,Charlie,
126,2018-10-09,Tuesday,12:30 PM,1:30 PM,Countway,Countway Cuddles – Pet Therapy,Welfare,Welfare,N,Y,,,,,,Institution,Y,N,N,,,,Charlie,
127,2018-10-10,Wednesday,5:30 PM,7:00 PM,Countway,Countway Longwood Author Series: Life at the Edge of Sight,Academic,Academic,N,Y,Roberto Kolter,Prof,PHD,male,Countway library,institution,Y,Y,Y,light refreshments,,snack,Charlie,
128,2018-10-10,Wednesday,1:00 PM,2:00 PM,Kresge 606,EH Winter 2019 Travel Course Info Session: EH 210 Social and Sustainable Innov – Yucatan,Academic,Academic,N,N,,,,,,,Y,N,Y,Refreshments,,snack,Charlie,
129,2018-10-10,Wednesday,2:00 PM,3:00 PM,Countway,Countway Cuddles – Pet Therapy,Welfare,Welfare,N,Y,,,,,,Institution,Y,N,N,,,,Charlie,
